Linux 6.18.12+kali-amd64 (kali) 	06/04/2026 	_x86_64_	(4 CPU)

06:24:29 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:29:23 AM     0    180443    0.50    5.50    0.00    0.00    6.00     0  dns-firewall
06:29:25 AM     0    180443    0.00    5.50    0.00    0.00    5.50     1  dns-firewall
06:29:27 AM     0    180443    0.00    5.50    0.00    0.50    5.50     0  dns-firewall
06:29:29 AM     0    180443    0.00    5.97    0.00    0.00    5.97     0  dns-firewall
06:29:31 AM     0    180443    0.00    6.00    0.00    0.00    6.00     0  dns-firewall
06:29:33 AM     0    180443    0.00    5.50    0.00    0.00    5.50     0  dns-firewall
06:29:35 AM     0    180443    0.00    5.50    0.00    0.50    5.50     0  dns-firewall
06:29:37 AM     0    180443    0.00    6.00    0.00    0.00    6.00     1  dns-firewall
06:29:39 AM     0    180443    0.00    5.50    0.00    0.00    5.50     0  dns-firewall
06:29:41 AM     0    180443    0.00    1.50    0.00    0.00    1.50     0  dns-firewall
06:29:43 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:29:45 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:29:47 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:29:49 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:29:51 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:29:53 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:29:55 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:29:57 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:29:59 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:01 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:03 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:05 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:07 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:09 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:11 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:13 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:15 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:17 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:19 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:21 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:23 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:25 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:27 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:29 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:31 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:33 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:35 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:37 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:39 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:41 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:43 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:45 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:47 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:49 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:51 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:53 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:55 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:57 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:30:59 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:31:01 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:31:03 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:31:05 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:31:07 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:31:09 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:31:11 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:31:13 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:31:15 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:31:17 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:31:19 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:31:21 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:31:23 AM     0    180443    0.00    1.00    0.00    0.00    1.00     0  dns-firewall
06:31:25 AM     0    180443    2.50    0.00    0.00    0.00    2.50     1  dns-firewall
06:31:27 AM     0    180443    1.50    0.00    0.00    0.00    1.50     1  dns-firewall
06:31:29 AM     0    180443    1.50    0.00    0.00    0.00    1.50     2  dns-firewall
06:31:31 AM     0    180443    1.00    0.00    0.00    0.00    1.00     3  dns-firewall
06:31:33 AM     0    180443    1.50    0.00    0.00    0.00    1.50     2  dns-firewall
06:31:35 AM     0    180443    1.50    0.00    0.00    0.00    1.50     2  dns-firewall
06:31:37 AM     0    180443    1.50    0.00    0.00    0.00    1.50     1  dns-firewall
06:31:39 AM     0    180443    1.00    0.00    0.00    0.00    1.00     1  dns-firewall
06:31:41 AM     0    180443    1.00    0.00    0.00    0.00    1.00     1  dns-firewall
06:31:43 AM     0    180443    1.50    0.00    0.00    0.50    1.50     1  dns-firewall
06:31:45 AM     0    180443    1.00    0.00    0.00    0.00    1.00     3  dns-firewall
06:31:47 AM     0    180443    1.50    0.00    0.00    0.00    1.50     3  dns-firewall
06:31:49 AM     0    180443    6.50    0.00    0.00    0.00    6.50     1  dns-firewall
06:31:51 AM     0    180443   12.50    0.00    0.00    0.00   12.50     1  dns-firewall
06:31:53 AM     0    180443   13.50    0.00    0.00    0.00   13.50     1  dns-firewall
06:31:55 AM     0    180443   14.00    0.00    0.00    0.00   14.00     1  dns-firewall
06:31:57 AM     0    180443   13.50    0.00    0.00    0.00   13.50     1  dns-firewall
06:31:59 AM     0    180443   14.50    0.00    0.00    0.00   14.50     1  dns-firewall
06:32:01 AM     0    180443   14.00    0.00    0.00    0.00   14.00     0  dns-firewall
